               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.025637,            0.010027,           0.0030235,             0.95266,             0.93063,             0.95648,              0.7115,            0.021551,           0.0091769,           0.0008771,          0.00069557,          0.00069557,          0.00069557
                  90,            0.025467,           0.0099124,           0.0013374,             0.94695,             0.93497,             0.95562,             0.71561,            0.021322,           0.0091601,          0.00086352,          0.00067415,          0.00067415,          0.00067415
                  91,            0.025116,            0.010308,           0.0028163,             0.94917,             0.92577,             0.95239,             0.71664,            0.021156,           0.0091025,           0.0008747,          0.00065274,          0.00065274,          0.00065274
                  92,            0.025392,           0.0098756,           0.0012648,             0.95177,             0.92875,              0.9569,             0.72034,            0.021205,           0.0090066,          0.00084878,          0.00063133,          0.00063133,          0.00063133
                  93,            0.024958,           0.0099439,           0.0013265,             0.94729,             0.93215,             0.95562,             0.71497,            0.021142,           0.0090235,          0.00084454,          0.00060991,          0.00060991,          0.00060991
                  94,            0.024525,           0.0095494,           0.0011332,             0.94729,             0.93797,             0.95495,             0.71992,            0.021137,           0.0090038,          0.00087448,           0.0005885,           0.0005885,           0.0005885
                  95,             0.02488,            0.010274,           0.0012314,             0.95676,             0.93252,             0.95739,             0.72143,             0.02102,            0.009011,          0.00083331,          0.00056708,          0.00056708,          0.00056708
                  96,            0.024429,           0.0097449,           0.0012628,             0.95173,             0.93656,             0.95825,             0.71965,            0.020993,           0.0090013,          0.00084271,          0.00054567,          0.00054567,          0.00054567
                  97,            0.024123,           0.0096995,            0.001208,             0.94839,             0.93482,             0.95763,             0.72258,            0.020936,           0.0089509,          0.00079901,          0.00052426,          0.00052426,          0.00052426
                  98,            0.024322,           0.0094415,           0.0012606,             0.94518,             0.93403,             0.95698,             0.72312,            0.020841,           0.0088636,          0.00081718,          0.00050284,          0.00050284,          0.00050284
                  99,            0.024153,           0.0094969,           0.0012195,              0.9374,             0.94542,             0.95704,             0.72071,            0.020821,           0.0088639,          0.00085951,          0.00048143,          0.00048143,          0.00048143
